,Paper ID,Title,Abstract,Score
0,19ebb3ea64083a71dcf7b9c2cd53bc49ec1a90ca,Infectious disease pandemic planning and response: Incorporating decision analysis,Freya Shearer and co-authors discuss the use of decision analysis in planning for infectious disease pandemics.,0.2603916784256947
1,dbefc8ad2a3de5d1696b7e604de8bce1da2ea8cd,Screening of FDA-approved drugs using a MERS-CoV clinical isolate from South Korea identifies potential therapeutic options for COVID-19,"In 2015, the Middle East respiratory syndrome coronavirus (MERS-CoV) reached the Republic of Korea, resulting from nosocomial transmission, and was the largest epidemic outside of the Arabian Peninsula. To date, despite various strategies to identify CoV interventions, there are only limited therapeutic options available. To address these unmet medical needs, we used a South Korean MERS-CoV clinical isolate and screened 5,406 compounds, including US Food and Drug Administration (FDA)-approved drugs and bioactive molecules, confirmed 221 hits by dose-response curve analysis in the primary assay, and selected 54 hits with a therapeutic index (TI) greater than 6. Time-of-addition studies with 12 FDA-approved drugs demonstrated that eight and four therapeutics act on the early- and late stages of the viral life cycle, respectively. Among the early acting drugs, three therapeutics with a TI greater than 100 were cardiotonic agents. Together, our results identify potential therapeutic options for treatment of MERS-CoV infections and could provide a basis for a wider range of coronaviruses, including the currently emerging coronavirus disease 2019 (COVID-19) outbreak.",0.2554634594290166
2,98f3c099dcd497b42efa3082b1e631d07378a5e5,Qualitative Research: Institutional Preparedness During Threats of Infectious Disease Outbreaks,"BACKGROUND: As demonstrated during the global Ebola crisis of 2014–2016, healthcare institutions in high resource settings need support concerning preparedness during threats of infectious disease outbreaks. This study aimed to exploratively develop a standardized preparedness system to use during unfolding threats of severe infectious diseases. METHODS: A qualitative three-step study among infectious disease prevention and control experts was performed. First, interviews (n = 5) were conducted to identify which factors trigger preparedness activities during an unfolding threat. Second, these triggers informed the design of a phased preparedness system which was tested in a focus group discussion (n = 5) were conducted to identify which factors trigger preparedness activities during an unfolding threat. Second, these triggers informed the design of a phased preparedness system which was tested in a focus group discussion (n = 5) were conducted to identify which factors trigger preparedness activities during an unfolding threat. Second, these triggers informed the design of a phased preparedness system which was tested in a focus group discussion ( RESULTS: Four preparedness phases were identified: preparedness phase green is a situation without the presence of the infectious disease threat that requires centralized care, anywhere in the world. Phase yellow is an outbreak in the world with some likelihood of imported cases. Phase orange is a realistic chance of an unexpected case within the country, or unrest developing among population or staff; phase red is cases admitted to hospitals in the country, potentially causing a shortage of resources. Specific preparedness activities included infection prevention, diagnostics, patient care, staff, and communication. Consensus was reached on the need for the development of a preparedness system and national coordination during threats. CONCLUSIONS: In this study, we developed a standardized system to support institutional preparedness during an increasing threat. Use of this system by both curative healthcare institutions and the (municipal) public health service, could help to effectively communicate and align preparedness activities during future threats of severe infectious diseases.",0.2528968083704737
3,82468c289eb562a3e63d084238c08f62e617eb64,In silico Design of novel Multi-epitope recombinant Vaccine based on Coronavirus surface glycoprotein,"It is of special significance to find a safe and effective vaccine against coronavirus disease 2019 (COVID-19) that can induce T cell and B cell -mediated immune responses. There is currently no vaccine to prevent COVID-19. In this project, a novel multi-epitope vaccine for COVID-19 virus based on surface glycoprotein was designed through application of bioinformatics methods. At the first, seventeen potent linear B-cell and T-cell binding epitopes from surface glycoprotein were predicted in silico, then the epitopes were joined together via different linkers. The immunogenicity of these epitopes was identified using IFN-{gamma} ELIspot assays. The IFN-{gamma} producing T cell variation ranged from 11.1 {+/-}1.2 SFU to 38.2 {+/-} 2.1 SFU per 10 6 PBMCs. One final vaccine was constructed which composed of 398 amino acids and attached to 50S ribosomal protein L7/L12 as adjuvant. Physicochemical properties, as well as antigenicity in the proposed vaccines, were checked for defining the vaccine stability and its ability to induce cell-mediated immune responses. Three-dimensional structure of the mentioned vaccine was subjected to the molecular docking studies with MHC-I and MHC-II molecules. The results proposed that the multi-epitope vaccine with 50S ribosomal protein L7/L12 was very stable with high aliphatic content and high antigenicity.",0.22704149754693273
4,73c8af41cfdbf52c0dfba37727e3b94cb56b495e,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19,"Wuhan Novel Coronavirus disease (COVID-19) outbreak has become a global outbreak which has raised the concern of scientific community to design and discover a definitive cure against this deadly virus which has caused deaths of numerous infected people upon infection and spreading. To date, no antiviral therapy or vaccine is available which can effectively combat the infection caused by this virus. This study was conducted to design possible epitope-based subunit vaccines against the SARS-CoV-2 virus using the approaches of reverse vaccinology and immunoinformatics. Upon continual computational experimentation three possible vaccine constructs were designed and one vaccine construct was selected as the best vaccine based on molecular docking study which is supposed to effectively act against SARS-CoV-2. Later, molecular dynamics simulation and in silico codon adaptation experiments were carried out in order to check biological stability and find effective mass production strategy of the selected vaccine. Hopefully, this study will contribute to uphold the present efforts of the researches to secure a definitive treatment against this lethal virus.",0.22346055313821148
5,d6d7306eb3f303f7461ab6cab965ef0c5d179719,Risk perception and behavioral change during epidemics: Comparing models of individual and collective learning,"Modern societies are exposed to a myriad of risks ranging from disease to natural hazards and technological disruptions. Exploring how the awareness of risk spreads and how it triggers a diffusion of coping strategies is prominent in the research agenda of various domains. It requires a deep understanding of how individuals perceive risks and communicate about the effectiveness of protective measures, highlighting learning and social interaction as the core mechanisms driving such processes. Methodological approaches that range from purely physics-based diffusion models to data-driven environmental methods rely on agent-based modeling to accommodate context-dependent learning and social interactions in a diffusion process. Mixing agent-based modeling with data-driven machine learning has become popularity. However, little attention has been paid to the role of intelligent learning in risk appraisal and protective decisions, whether used in an individual or a collective process. The differences between collective learning and individual learning have not been sufficiently explored in diffusion modeling in general and in agent-based models of socio-environmental systems in particular. To address this research gap, we explored the implications of intelligent learning on the gradient from individual to collective learning, using an agent-based model enhanced by machine learning. Our simulation experiments showed that individual intelligent judgement about risks and the selection of coping strategies by groups with majority votes were outperformed by leader-based groups and even individuals deciding alone. Social interactions appeared essential for both individual learning and group learning. The choice of how to represent social learning in an agent-based model could be driven by existing cultural and social norms prevalent in a modeled society.",0.19814651149869794
6,74b00f19c3af87d1081644f02490ba250f57b7ca,Design of multi epitope-based peptide vaccine against E protein of human COVID-19: An immunoinformatics approach,"BackgroundNew endemic disease has been spread across Wuhan City, China on December 2019. Within few weeks, the World Health Organization (WHO) announced a novel coronavirus designated as coronavirus disease 2019 (COVID-19). In late January 2020, WHO declared the outbreak of a ""public-health emergency of international concern"" due to the rapid and increasing spread of the disease worldwide. Currently, there is no vaccine or approved treatment for this emerging infection; thus the objective of this study is to design a multi epitope peptide vaccine against COVID-19 using immunoinformatics approach.  MethodSeveral techniques facilitating the combination of immunoinformatics approach and comparative genomic approach were used in order to determine the potential peptides for designing the T cell epitopes-based peptide vaccine using the envelope protein of 2019-nCoV as a target.  ResultsExtensive mutations, insertion and deletion were discovered with comparative sequencing in COVID-19 strain. Additionally, ten peptides binding to MHC class I and MHC class II were found to be promising candidates for vaccine design with adequate world population coverage of 88.5% and 99.99%, respectively.  ConclusionT cell epitopes-based peptide vaccine was designed for COVID-19 using envelope protein as an immunogenic target. Nevertheless, the proposed vaccine is rapidly needed to be validated clinically in order to ensure its safety, immunogenic profile and to help on stopping this epidemic before it leads to devastating global outbreaks.",0.18463928536213256
7,1e0851ed44e0459ff83448af23b81560a41ede72,Late viral or bacterial respiratory infections in lung transplanted patients: impact on respiratory function,"BACKGROUND: Respiratory infections are a major threat for lung recipients. We aimed to compare with a monocentric study the impact of late viral and bacterial respiratory infections on the graft function. METHODS: Patients, who survived 6 months or more following lung transplantation that took place between 2009 and 2014, were classified into three groups: a viral infection group (VIG) (without any respiratory bacteria), a bacterial infection group (BIG) (with or without any respiratory viruses), and a control group (CG) (no documented infection). Chronic lung allograft dysfunction (CLAD) and acute rejection were analysed 6 months after the inclusion in the study. RESULTS: Among 99 included lung recipients, 57 (58%) had at least one positive virological respiratory sample during the study period. Patients were classified as follows: 38 in the VIG, 25 in the BIG (among which 19 co-infections with a virus) and 36 in the CG. The BIG presented a higher initial deterioration in lung function (p = 0.05) than the VIG. But 6 months after the infection, only the VIG presented a median decrease of forced expiratory volume in 1 s; − 35 mL (IQR; − 340; + 80) in the VIG, + 140 mL (+ 60;+ 330) in the BIG and + 10 (− 84;+ 160) in the CG, p < 0.01. Acute rejection was more frequent in the VIG (n = 12 (32%)), than the BIG (n = 6 (24%)) and CG (n = 3 (8%)), p < 0.05, despite presenting no more CLAD (p = 0.21). CONCLUSIONS: Despite a less severe initial presentation, single viral respiratory infections seem to lead to a greater deterioration in lung function, and to more acute rejection, than bacterial infections.",0.15489949659712346
9,cfe337afa069a02e96adf6894819e7928f8c4534,Long‐term outcome of cats with acquired myasthenia gravis without evidence of a cranial mediastinal mass,"BACKGROUND: Acquired myasthenia gravis (AMG) is increasingly recognized in cats, yet information regarding the natural history of the disease, treatment, and outcome including occurrence of immune and spontaneous remission remains limited. OBJECTIVE: To determine the long‐term outcome of cats with AMG without evidence of a cranial mediastinal mass (CMM). ANIMALS: Eight cats diagnosed with AMG without evidence of a CMM. METHODS: Retrospective case series. The medical records of cats diagnosed with AMG between 2005 and 2018 from 2 veterinary referral hospitals were reviewed for inclusion. Inclusion criteria consisted of a diagnosis of AMG, thoracic imaging, serum biochemistry including measurement of creatine kinase, and a CBC. Exclusion criteria were the presence of an identifiable CMM, or administration of methimazole or carbimazole. RESULTS: All cats had an excellent long‐term outcome, achieving immune remission within 6 months of diagnosis, including 4 cats that did not receive any treatment and whose natural course of disease involved spontaneous remission. Clinical presentation was heterogeneous, and skeletal muscle weakness and fatigability induced or exacerbated by the wheelbarrow exercise stress test were the most consistent abnormalities associated with AMG. CONCLUSION AND CLINICAL IMPORTANCE: Cats diagnosed with AMG without evidence a CMM have a favorable outcome and frequently achieve immune remission. Moreover, the natural history of AMG in cats includes spontaneous remission when there is no evidence of a CMM. Attempting to rule out the presence of a CMM therefore refines prognosis, and treatment is not always necessary in this disease population.",0.14349362651907832
10,029c1c588047f1d612a219ee15494d2d19ff7439,Protective Population Behavior Change in Outbreaks of Emerging Infectious Disease,"During outbreaks of emerging infections, the lack of effective drugs and vaccines increases reliance on non-pharmacologic public health interventions and behavior change to limit human-to-human transmission. Interventions that increase the speed with which infected individuals remove themselves from the susceptible population are paramount, particularly isolation and hospitalization. Ebola virus disease (EVD), Severe Acute Respiratory Syndrome (SARS), and Middle East Respiratory Syndrome (MERS) are zoonotic viruses that have caused significant recent outbreaks with sustained human-to-human transmission. This investigation quantified changing mean removal rates (MRR) and days from symptom onset to hospitalization (DSOH) of infected individuals from the population in seven different outbreaks of EVD, SARS, and MERS, to test for statistically significant differences in these metrics between outbreaks. We found that epidemic week and viral serial interval were correlated with the speed with which populations developed and maintained health behaviors in each outbreak.",0.13926318448843772
