,paperID,abstract,Score
0,3083af632db7cfbddd6ac1b939fcf076d545e783,"Infectious disease is still a major threat in the world today. Five decades ago, it was considered soon to be eradicated, but the adaptation of pathogens to environmental pressure, such as antimicrobials, encouraged the emergence and reemergence of infectious disease. The fight with infectious disease starts with prevention, diagnosis, and treatment. Diagnosis can be upheld by observing the cause of disease under the microscope or detecting the presence of nucleic acid and proteins of the pathogens. The molecular techniques span from classical polymerase chain reaction (PCR) to sequencing the nucleic acid composition. Here, we are reviewing the works have been undertaken to utilize a portable sequencer, MinION, in various aspects of infectious disease management.",0.8119712
6,9c2aa72aa0640f5224c2663ae55c35f75b8889c6,"Viruses have been infecting their host cells since the dawn of life, and this extremely long-term coevolution gave rise to some surprising consequences for the entire tree of life. It is hypothesised that viruses might have contributed to the formation of the first cellular life form, or that even the eukaryotic cell nucleus originates from an infection by a coated virus. The continuous struggle between viruses and their hosts to maintain at least a constant fitness level led to the development of an unceasing arms race, where weapons are often shuttled between the participants. In this literature review we try to give a short insight into some general consequences or traits of virus–host coevolution, and after this we zoom in to the viral clades of adenoviruses, herpesviruses, nucleo-cytoplasmic large DNA viruses, polyomaviruses and, finally, circoviruses.",0.76424766
10,17b715fd64ea139c0ed35b555de365b47585da64,"Today’s world is characterized by increasing population density, human mobility, urbanization, and climate and ecological change. This global dynamic has various effects, including the increased appearance of emerging infectious diseases (EIDs), which pose a growing threat to global health security. Outbreaks of EIDs, like the 2013–2016 Ebola outbreak in West Africa or the current Ebola outbreak in Democratic Republic of the Congo (DRC), have not only put populations in low- and middle-income countries (LMIC) at risk in terms of morbidity and mortality, but they also have had a significant impact on economic growth in affected regions and beyond. The Coalition for Epidemic Preparedness Innovation (CEPI) is an innovative global partnership between public, private, philanthropic, and civil society organizations that was launched as the result of a consensus that a coordinated, international, and intergovernmental plan was needed to develop and deploy new vaccines to prevent future epidemics. CEPI is focusing on supporting candidate vaccines against the World Health Organization (WHO) Blueprint priority pathogens MERS-CoV, Nipah virus, Lassa fever virus, and Rift Valley fever virus, as well as Chikungunya virus, which is on the WHO watch list. The current vaccine portfolio contains a wide variety of technologies, ranging across recombinant viral vectors, nucleic acids, and recombinant proteins. To support and accelerate vaccine development, CEPI will also support science projects related to the development of biological standards and assays, animal models, epidemiological studies, and diagnostics, as well as build capacities for future clinical trials in risk-prone contexts.",0.7366297
17,cfe337afa069a02e96adf6894819e7928f8c4534,"BACKGROUND: Acquired myasthenia gravis (AMG) is increasingly recognized in cats, yet information regarding the natural history of the disease, treatment, and outcome including occurrence of immune and spontaneous remission remains limited. OBJECTIVE: To determine the long‐term outcome of cats with AMG without evidence of a cranial mediastinal mass (CMM). ANIMALS: Eight cats diagnosed with AMG without evidence of a CMM. METHODS: Retrospective case series. The medical records of cats diagnosed with AMG between 2005 and 2018 from 2 veterinary referral hospitals were reviewed for inclusion. Inclusion criteria consisted of a diagnosis of AMG, thoracic imaging, serum biochemistry including measurement of creatine kinase, and a CBC. Exclusion criteria were the presence of an identifiable CMM, or administration of methimazole or carbimazole. RESULTS: All cats had an excellent long‐term outcome, achieving immune remission within 6 months of diagnosis, including 4 cats that did not receive any treatment and whose natural course of disease involved spontaneous remission. Clinical presentation was heterogeneous, and skeletal muscle weakness and fatigability induced or exacerbated by the wheelbarrow exercise stress test were the most consistent abnormalities associated with AMG. CONCLUSION AND CLINICAL IMPORTANCE: Cats diagnosed with AMG without evidence a CMM have a favorable outcome and frequently achieve immune remission. Moreover, the natural history of AMG in cats includes spontaneous remission when there is no evidence of a CMM. Attempting to rule out the presence of a CMM therefore refines prognosis, and treatment is not always necessary in this disease population.",0.7248805
29,b4e276ce333eefee623e9d425f5c538c64b567cc,"Biological mass spectrometry has evolved as a core analytical technology in the last decade mainly because of its unparalleled ability to perform qualitative as well as quantitative profiling of enormously complex biological samples with high mass accuracy, sensitivity, selectivity and specificity. Mass spectrometry‐based techniques are also routinely used to assess glycosylation and other post‐translational modifications, disulfide bond linkage, and scrambling as well as for the detection of host cell protein contaminants in the field of biopharmaceuticals. The role of mass spectrometry in vaccine development has been very limited but is now expanding as the landscape of global vaccine development is shifting towards the development of recombinant vaccines. In this review, the role of mass spectrometry in vaccine development is presented, some of the ongoing efforts to develop vaccines for diseases with global unmet medical need are discussed and the regulatory challenges of implementing mass spectrometry techniques in a quality control laboratory setting are highlighted.",0.70691
33,3fd4c59ae94e2ecc44c0c40d678dd18e31ddb7c7,"BACKGROUND: Influenza is a zoonotic disease that infects millions of people each year resulting in hundreds of thousands of deaths, and in turn devastating pandemics. Influenza is caused by influenza viruses, including influenza A virus (IAV). There are many subtypes of IAV but only a few seem to be able to adapt to humans and to cause disease. In 2013, an H7N9 IAV subtype emerged in China that does not cause clinical symptoms in its chicken host but leads to severe infections when transmitted into humans. Since 2013, there have been six epidemic waves of H7N9 with 1567 laboratory‐confirmed human infections and 615 deaths. Pathogenicity of IAV is complex, but a crucial feature contributing to virulence is the activation of the hemagglutinin (HA) fusion protein by host proteases that triggers membrane fusion and leads to subsequent virus propagation. METHODS: 293T, VERO, and MDCK cells were used to conduct Western blot analysis, immunofluorescence assays, and pseudoparticle and live virus infections, and to evaluate H7N9 HA cleavage‐activation. RESULTS/CONCLUSIONS: We show that human matriptase/ST 14 is able to cleave H7N9 HA. Cleavage of H7N9 HA expressed in cell culture results in fusogenic HA and syncytia formation. In infection studies with viral pseudoparticles carrying matriptase/ST 14‐activated H7N9 HA, we observed a high infectivity of cells. Finally, human matriptase/ST 14 also activated H7N9 live virus which resulted in high infectivity. Our data demonstrate that human matriptase/ST 14 is a likely candidate protease to promote H7N9 infections in humans.",0.70152116
45,9e90670ce5061438424bedfc1f400b75e3dea417,"Renin angiotensin system (RAS) is an endocrine system widely known for its physiological roles in electrolyte homeostasis, body fluid volume regulation and cardiovascular control in peripheral circulation. However, brain RAS is an independent form of RAS expressed locally in the brain, which is known to be involved in brain functions and disorders. There is strong evidence for a major involvement of excessive brain angiotensin converting enzyme (ACE)/Angiotensin II (Ang II)/Angiotensin type-1 receptor (AT-1R) axis in increased activation of oxidative stress, apoptosis and neuroinflammation causing neurodegeneration in several brain disorders. Numerous studies have demonstrated strong neuroprotective effects by blocking AT1R in these brain disorders. Additionally, the angiotensin converting enzyme 2 (ACE2)/Angiotensin (1–7)/Mas receptor (MASR), is another axis of brain RAS which counteracts the damaging effects of ACE/Ang II/AT1R axis on neurons in the brain. Thus, angiotensin II receptor blockers (ARBs) and activation of ACE2/Angiotensin (1–7)/MASR axis may serve as an exciting and novel method for neuroprotection in several neurodegenerative diseases. Here in this review article, we discuss the expression of RAS in the brain and highlight how altered RAS level may cause neurodegeneration. Understanding the pathophysiology of RAS and their links to neurodegeneration has enormous potential to identify potentially effective pharmacological tools to treat neurodegenerative diseases in the brain.",0.6879027
53,98aca16ac6513c25abcf54bc1dbe7b6fe65e9c49,"BACKGROUND: Cell‐based influenza vaccines can solve the problem of the frequent occurrence of egg adaptation–associated antigenic changes observed in egg‐based vaccines. Seed viruses for cell‐based vaccines can be prepared from clinical specimens by cell culture; however, clinical samples risk harboring respiratory viruses other than influenza virus. Therefore, it is necessary to investigate the patterns of co‐infection in clinical samples and explore whether cell culture technology can selectively propagate influenza viruses from samples containing other respiratory viruses. METHODS: A total of 341 clinical specimens were collected from patients with influenza or influenza‐like illness and analyzed by ResPlex II assay to detect 18 respiratory viruses. The patterns of co‐infection were statistically analyzed with Fisher's exact test. The samples with double or triple infections were passaged in suspension MDCK cells (MDCK‐S), adherent MDCK cells (MDCK‐A), and LLC‐MK2D cells. Cell‐passaged samples were analyzed by ResPlex II assay again to investigate whether each cell line could amplify influenza viruses and eliminate other respiratory viruses. RESULTS: Double infections were detected in 8.5% and triple infections in 0.9% of the collected clinical specimens. We identified four pairs of viruses with significant correlation. For all samples with double and triple infection, MDCK‐S and MDCK‐A could selectively propagate influenza viruses, while eliminating all contaminating viruses. In contrast, LLC‐MK2D showed lower isolation efficiency for influenza virus and higher isolation efficiency for coxsackievirus/echovirus than MDCK‐S and MDCK‐A. CONCLUSIONS: Both MDCK‐S and MDCK‐A are considered suitable for the preparation of influenza vaccine seed viruses without adventitious agents or egg‐adaptation mutations.",0.6824423
65,9c4444ada7a386ec68c8180c998e0b2ec44824d8,"Increasing research has demonstrated that expression of brain and muscle ARNT-like 1 (BMAL1) and other circadian clock genes can be regulated by drugs and toxicants. We previously demonstrated that icariin, extracted from Herba Epimedii, sromotes osteogenic differentiation. However, the mechanism underlying the association between icariin and BMAL1 in osteogenic differentiation of bone marrow-derived mesenchymal stem cells (BMSCs) remains unclear. The present study was designed with an aim to clarify the association between icariin and BMAL1 in osteogenic differentiation of BMSCs. The Cell Counting Kit-8 assay was used to evaluate cell proliferation. The expression of bone morphogenetic protein 2 (BMP2), RUNX family transcription factor 2 (RUNX2), alkaline phosphatase (ALP), osteocalcin (OC) and BMAL1 in BMSCs was evaluated by reverse transcription-quantitative PCR and western blotting. ALP and Alizarin red S (ARS) staining were also performed. Icariin promoted BMSC proliferation, and upregulated expression of osteogenic genes and BMAL1. In addition, expression of the osteogenic genes BMP2, RUNX2, ALP and OC were upregulated by BMAL1 overexpression. Furthermore, we confirmed that BMAL1 deficiency suppressed osteogenic differentiation in BMSCs. Finally, ARS staining of BMAL1(−/−) BMSCs revealed that BMAL1 was an essential intermediary in matrix mineralization during osteogenic differentiation. In conclusion, these results demonstrated that icariin promoted osteogenic differentiation through BMAL1-BMP2 signaling in BMSCs. The present study thus described a novel target of icariin that has potential applications in the treatment of osteogenic disorders.",0.6747693
78,7fb385f3c0c5ce04f1c3d3c4f20678c0ae3a7031,"BACKGROUND: Hajj pilgrimage faces numerous challenges including a high prevalence of respiratory tract infection as well as its prevention strategies. The aim of this study was to develop and validate a questionnaire to evaluate knowledge, attitude and practice (KAP) towards respiratory tract infections (RTIs) prevention among Malaysian Hajj pilgrims. METHODS: This study was conducted among Malaysian Umrah pilgrims in Malaysia from Kuala Lumpur and Kelantan. The questionnaire then underwent a series of validation process that included content, face validity and exploratory part. Item response theory (IRT) analysis was utilized for the validation of the knowledge domain. The attitude and practice were validated using the exploratory factor analysis (EFA). RESULTS: The validation process resulted in a questionnaire that comprised of four main sections: demography, knowledge, attitude, and practice. Following IRT analysis of the knowledge domain, all items analyzed were within the acceptable range of difficulty and discrimination. The Kaiser-Meyer-Olkin measure of sampling adequacy (KMO) was 0.72 and 0.84 for attitude and practice domain respectively and Bartlett’s test of Sphericity for both domains were highly significant (P < 0.001). The factor analysis resulted in two factors with total of 12 items in attitude domain, and 2 factors with total of 13 items in the practice domain with satisfactory factor loading (> 0.3). The Cronbach’s alpha for reliability of the knowledge, attitude and practice domains all showed acceptable values of > 0.6 (0.92, 0.77 and 0.85). CONCLUSION: The findings of this validation and reliability study showed that the developed questionnaire had a satisfactory psychometric property for measuring KAP of Malaysian Hajj pilgrims.",0.6669236
