,paperID,abstract,Score
0,Expert consensus on chloroquine phosphate for the treatment of novel coronavirus pneumonia,"We recommend readers consult the latest guidance (box 1).Box 1 Essential resourcescovid-19: latest case definition, investigation, and initial clinical management of possible cases:https://www.gov.uk/government/publications/wuhan-novel-coronavirus-initial-investigation-of-possible-cases/investigation-and-initial-clinical-management-of-possible-cases-of-wuhan-novel-coronavirus-wn-cov-infectionCoronavirus: latest information and advice including updated list of high risk countries:https://www.gov.uk/guidance/wuhan-novel-coronavirus-information-for-the-publicGuidance on isolation of healthcare workers:https://www.gov.uk/government/publications/novel-coronavirus-2019-ncov-guidance-for-healthcare-providers-with-staff-who-have-travelled-to-china/guidance-for-healthcare-providers-healthcare-workers-who-have-travelled-to-chinaFind your local Health Protection Team in England:https://www.gov.uk/health-protection-teamcovid-19: interim guidance … RETURN TO TEXT",2.3695703
1,Genetic diversity and evolution of SARS-CoV-2,<jats:p>Objective: We aim to summarize reliable evidences of evidence-based medicine for the treatment and prevention of the 2019 novel coronavirus (2019-nCoV) by analyzing all the published studies on the clinical characteristics of patients with 2019-nCoV.,2.36178
2,Abnormal Coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia,"There is concern about a new coronavirus, the 2019-nCoV, as a global public health threat.",2.3582366
3,Dynamic changes of chest CT imaging in patients with corona virus disease-19 (COVID-19),Prevention and control about the situation of 2019 coronavirus disease (COVID-19) are grim at present.,2.2299953
4,Singapore claims first use of antibody test to track coronavirus infections | Science | AAAS,"“Since the beginning, we have been serious in strictly following WHO [World Health Organization] guidelines regarding the coronavirus issue,” he said.",2.221891
5,Chest CT for Typical 2019-nCoV Pneumonia: Relationship to Negative RT-PCR Testing,MERS coronavirus (MERS-CoV) has been confirmed to be the etiological agent.,2.1781287
6,Coronavirus disinfection in histopathology,"In addition, the comprehensive evaluation of all the published genomes of Coronavirus strains, including population genetics analysis, functional analysis and structural analysis on a historical and global scale were presented in the CoVdb.",2.1775439
7,Coronavirus puts drug chemical industry on alert,"To expedite the advancement of our knowledge we leverage the data about the related coronaviruses that is readily available in public databases, and integrate these data into a single computational pipeline.",2.166527
8,Clinical features and high resolutionCT imaging findings of preliminary diagnosis novel coronavirus pneumonia,Diagnosis of the virus responsible for disease is essential to ensure patients receive appropriate clinical management.,2.1520433
9,Integration of the Gene Ontology into an object-oriented architecture,"Using data obtained from similar coronaviruses, e.g.",2.1515605
10,The psychological effects of quarantining a city,This knowledge should facilitate the design of antivirals to prevent coronavirus infections in the field.,2.1423862
11,Protocolo para la atención de personas con sospechas o infección confirmada por Coronavirus (2019-nCoN)[Spanish],"At present, the prevention and control of new coronavirus has entered a critical period.",2.1334624
13,‘This beast is moving very fast.’ Will the new coronavirus be contained—or go pandemic? | Science | AAAS,The treatment of critically ill patients with coronavirus disease 2019(COVID-19) faces compelling challenges.,2.1135275
14,How bad will it get?,"To date, few data on immunologic features of Coronavirus Disease 2019 (COVID-19) have been reported.",2.0591693
15,Protocolo de Manejo Clínico para o Novo Coronavírus (2019-nCoV),Coronavirus disease 2019 (COVID-19) has emerged as a growing focus of global attention and a critical factor in public-health decision making.,2.0556161
17,Statistics-Based Predictions of Coronavirus Epidemic Spreading in Mainland China,"<jats:p>Summary Background: Some articles have reported the epidemiological and clinical characteristics of coronavirus disease (COVID-19) in Wuhan, but other cities have rarely been reported.",2.0205019
18,Investigation on demands for antenatal care services among 2 002 pregnant women during the epidemic of coronavirus disease 2019 in Shanghai,Coronaviruses are respiratory viruses whose appearance on electron microscopy looks like tiny crowns (Figure 1).,2.000091
19,Labs scramble to spot hidden coronavirus infections | Science | AAAS,"In low-resource areas, a key obstacle is quick and accurate detection of viruses near the point of care.",1.9870967
